Number,Type,Release date/date of original information retrieval,Source,Accessed on,Manufacturer,Product,Hash rate in Mh/s,Power in W,Efficiency in Mh/J
66,ASIC,1-Aug-2017,https://asicnews.com/asic-miners/top-6-best-bitcoin-asic-miners-2017/,06-May-2018,Bitmain,AntMiner R4,"8,600,000",845,10178
,,1-Aug-2017,https://www.cryptocompare.com/mining/bitmain/antminer-t9-miner/,06-May-2018,,,,,
67,ASIC,14-Nov-2017,https://bitcointalk.org/index.php?topic=2390138.20 ,06-May-2018,WhatsMiner,WhatsMiner M3,"12,500,000","2,000",6250
,,14-Nov-2017,https://www.techradar.com/news/best-asic-devices-for-bitcoin-mining-in-2018,06-May-2018,,,,,
68,ASIC,1-Dec-2017,https://en.bitcoin.it/wiki/Mining_hardware_comparison  ,06-May-2018,WhatsMiner,WhatsMiner M2,"9,200,000","2,046",4497
,,1-Dec-2017,http://www.coincalendar.info/shop/products/asic-bitcoin-miner-for-whatsminer-m2-9-3ths-good-quality-as-antminer-s9-with-power-supply/,06-May-2018,,,,,
,,1-Dec-2017,https://www.buyandsellph.com/item/184386/the-newest-crytomining-antminer-whatsminer-is-now-available,06-May-2018,,,,,
69,ASIC,13-Dec-2017,https://www.cryptocompare.com/mining/canaan-creative/avalonminer-761/ ,06-May-2018,Canaan,Avalon 761,"8,800,000","1,320",6667
,,13-Dec-2017,https://bitcointalk.org/index.php?topic=2578491.0,06-May-2018,,,,,
70,ASIC,20-Dec-2017,https://www.cryptouniverse.at/avalonminer-821-listed-canaan-io/,06-May-2018,Canaan,Avalon821 ,"11,000,000","1,200",9167
,,20-Dec-2017,https://canaan.io/product/avalonminer-821/,06-May-2018,,,,,
71,ASIC,20-Dec-2017,http://news.8btc.com/ebang-releasee10-miner-with-samsung-10nm-chips,06-May-2018,Hangzhou-Ebang,Ebit E10,"18,000,000","1,620",11111
,,20-Dec-2017,https://en.bitcoin.it/wiki/Mining_hardware_comparison ,06-May-2018,,,,,
,,20-Dec-2017,https://www.bitcoinmining.com/bitcoin-mining-hardware/,06-May-2018,,,,,
72,ASIC,20-Dec-2017,http://news.8btc.com/ebang-releasee10-miner-with-samsung-10nm-chips,06-May-2018,Hangzhou-Ebang,Ebit E9++,"14,000,000","1,330",10526
,,20-Dec-2017,https://en.bitcoin.it/wiki/Mining_hardware_comparison,06-May-2018,,,,,
73,ASIC,23-Dec-2017,https://en.bitcoin.it/wiki/Mining_hardware_comparison ,06-May-2018,Hangzhou-Ebang,Ebit E9+,"9,000,000","1,300",6923
,,23-Dec-2017,https://bitcointalk.org/index.php?topic=2638479.0,06-May-2018,,,,,
74,ASIC,1-Mar-2018,https://blockchaind.net/dragonmint-halongmining-releases-competitor-bitmain/,06-May-2018,Halong Mining,DragonMint 16T,"16,000,000","1,432",11173
,,1-Mar-2018,https://www.cryptocompare.com/mining/halong-mining/dragonmint-16t/,06-May-2018,,,,,
75,ASIC,1-Apr-2018,http://news.8btc.com/canaan-avalon-release-a841-miner-at-13t1200w-and-ai-kpu,06-May-2018,Canaan,Avalon 841,"13,000,000","1,290",10078
,,1-Apr-2018,https://canaan.io/product/avalonminer-841/,06-May-2018,,,,,
